path,title,label
"twitter-data-staticsite/en_us/values/elections-integrity.html","Elections integrity","elections"
"twitter-data-staticsite/en_us/values/twitter-for-good/twitter-for-good-partners.html","Twitter For Good Partners","other"
"twitter-data-staticsite/en_us/values/pac.html","PAC","other"
"twitter-data-staticsite/en_us/values/twitter-for-good.html","Twitter for Good","other"
"twitter-data-staticsite/en_us/values/civic-engagement.html","Twitter civic engagement","elections"
"twitter-data-staticsite/content/about-twitter/en_us/values/elections-integrity/service-integrity/jcr:content/par.html","Service integrity","policy"
"twitter-data-staticsite/content/about-twitter/en_us/values/elections-integrity/political-advertising/jcr:content/par.html","Political advertising","ads"
"twitter-data-staticsite/content/about-twitter/en_us/values/elections-integrity/electoral-outreach/jcr:content/par.html","Electoral outreach","elections"
"twitter-data-staticsite/content/about-twitter/en_us/values/elections-integrity/Partnerships/jcr:content/par.html","Partnerships","transparency"
"twitter-data-staticsite/content/about-twitter/en_us/values/elections-integrity/data/jcr:content/par.html","Data archive","transparency"
"twitter-data-staticsite/content/about-twitter/en_us/values/elections-integrity/2016-us-elections/jcr:content/par.html","2016 US Elections","elections"
"twitter-data-staticsite/content/about-twitter/en_us/values/elections-integrity/health-and-elections/jcr:content/par.html","Health and elections","policy"
